name,id,institution,longitude,latitude,keywords
hecn-s400-10.gsfc.nasa.gov,urn:ogf:network:domain=dragon.maxgigapop.net:node=GSFC:port=19:link=*,NASA,,,
wash-pc1-eth1.hopi.internet2.edu,urn:ogf:network:domain=dragon.maxgigapop.net:node=HOPI-WASH:port=0-2-0:link=*,MAX,,,
ncsa-vlsr-eth1.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=NCSA:port=17:link=*,NCSA,,,
mcln-e300.gsfc.nasa.gov,urn:ogf:network:domain=dragon.maxgigapop.net:node=MCLN:port=1-2-3:link=*,NASA,,,
uslhcnet.es.net,urn:ogf:network:domain=es.net:node=star-sdn1:port=xe-0/1/0:link=*,ESnet,,,
perfsonar.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX:port=1-1-12:link=*,MAX,,,
cern-dcn.uslhcnet.org,urn:ogf:network:domain=uslhcnet.org:node=vlsr:port=10.8.2.1-10:link=10.8.2.1,USLHCnet,,,
learn-sw-gi1-0-1.tx-learn.org,urn:ogf:network:domain=tx-learn.org:node=learn-sw:port=1-0-1:link=*,LEARN,,,
clpk-es1-eth1.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=CLPK:port=1-0-1:link=*,MAX,,,
ncsa-es1.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=NCSA:port=17:link=*,NCSA,,,
star-pt1.es.net,urn:ogf:network:domain=es.net:node=star-sdn1:port=xe-1/3/0:link=* ,ESnet,,,
pssc6-eth2.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX:port=1-2-3:link=*,MAX,,,
clpk-6509.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=CLPK:port=1-1-8:link=*,MAX,,,
mcln-es1-eth2.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MCLN:port=1-1-4:link=*,MAX,,,
max-vlsr2-eth1.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX2:port=1-0-9:link=*,MAX,,,
lucille-untagged.dcn.nysernet.org,urn:ogf:network:domain=nysernet.org:node=syr-vlsr1:port=E7:link=1,NYSERNet,,,
anna-lab3.internet2.edu,urn:ogf:network:domain=anna.internet2.edu:node=anna-vlsr2:port=1-1-1:link=1,Internet2,,,
dataserver-untagged.dcn.nysernet.org,urn:ogf:network:domain=nysernet.org:node=syr-vlsr1:port=E22:link=1,NYSERNet,,,
vela-eth1.gsfc.nasa.gov,urn:ogf:network:domain=dragon.maxgigapop.net:node=GSFC:port=5:link=*,NASA,,,
hydra-eth1.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX3:port=0-4-10:link=*,MAX,,,
learn-pc.tx-learn.org,urn:ogf:network:domain=tx-learn.org:node=208.117.132.8:port=1:link=1,LEARN,,,
pssc4-eth2.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=MAX:port=1-1-8:link=*,MAX,,,
arlg-es1-eth2.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=ARLG:port=1-1-4:link=*,MAX,,,
carina-eth1.gsfc.nasa.gov,urn:ogf:network:domain=dragon.maxgigapop.net:node=GSFC:port=6:link=*,NASA,,,
hecn-s400-9.gsfc.nasa.gov,urn:ogf:network:domain=dragon.maxgigapop.net:node=GSFC:port=18:link=*,NASA,,,
6509-vlsr-eth1.dragon.maxgigapop.net,urn:ogf:network:domain=dragon.maxgigapop.net:node=CLPK6509:port=0-4-37:link=*,MAX,,,
